hostname,pl_name,pl_rade,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,is_habitable
TOI-4010,TOI-4010 b,3.02,0.0229,1441.0,4960.0,0.83,0.88,0
TOI-2384,TOI-2384 b,11.48920522,0.02793,889.7,3943.0,0.6113,0.635,0
K2-321,K2-321 b,1.95,0.041,701.0,3855.0,0.583,0.599,0
HAT-P-28,HAT-P-28 b,13.585,0.0434,1384.0,5680.0,1.103,1.025,0
HD 3167,HD 3167 c,2.86,0.1841,531.0,5528.0,0.87,0.94,0
TOI-1710,TOI-1710 b,5.15,0.164,730.0,5730.0,0.95,0.99,0
TOI-3894,TOI-3894 b,15.22179579,0.0543,1519.0,6000.0,1.502,1.138,0
NGTS-10,NGTS-10 b,13.506845,0.0143,1332.0,4600.0,0.697,0.696,0
HD 3167,HD 3167 b,1.574,0.01752,1759.0,5286.0,0.835,0.877,0
COCONUTS-2 A,COCONUTS-2 b,12.44196858,7506.0,434.0,3406.0,0.388,0.37,0
Kepler-549,Kepler-549 d,3.65,0.1562,565.0,5467.0,0.856,0.839,0
Kepler-395,Kepler-395 b,0.78,0.0537,450.0,3735.0,0.4,0.413,0
Kepler-1515,Kepler-1515 b,9.33,0.7455,390.0,6517.0,1.375,1.203,0
Kepler-703,Kepler-703 b,5.4,0.054,1027.0,5796.0,0.87,0.98,0
Kepler-1471,Kepler-1471 b,1.32,0.0429,1153.0,5881.0,0.848,0.794,0
Kepler-1644,Kepler-1644 b,1.8,0.142,607.0,5722.0,0.821,0.856,0
Kepler-325,Kepler-325 d,2.62,0.2179,498.0,5445.0,0.937,0.919,0
KOI-1257,KOI-1257 b,10.54,0.382,511.0,5520.0,1.13,0.99,0
Kepler-82,Kepler-82 e,2.3,0.062,958.0,5700.0,0.9,0.922,0
Kepler-1369,Kepler-1369 b,2.9,0.171,660.0,5987.0,1.07,1.0,0
Kepler-697,Kepler-697 b,3.96,0.0462,1056.0,5576.0,0.852,0.953,0
Kepler-1466,Kepler-1466 b,1.38,0.1942,585.0,6086.0,0.921,1.003,0
Kepler-1889,Kepler-1889 b,2.59,0.2073,494.0,5641.0,0.817,0.853,0
Kepler-1668,Kepler-1668 b,4.3,0.124,721.0,5900.0,0.951,1.065,0
Kepler-1772,Kepler-1772 b,2.69,0.044,1779.0,5779.0,2.142,1.098,0
Kepler-202,Kepler-202 b,1.53,0.0449,802.0,4671.0,0.68,0.75,0
Kepler-908,Kepler-908 b,1.07,0.0248,1692.0,5977.0,1.022,1.133,0
Kepler-60,Kepler-60 d,1.76,0.1055,1013.0,6200.0,1.448,1.105,0
Kepler-188,Kepler-188 b,1.84,0.032,1571.0,6008.0,1.12,1.01,0
Kepler-1077,Kepler-1077 b,2.64,0.2101,576.0,6091.0,0.967,1.045,0
Kepler-1005,Kepler-1005 b,1.52,0.0663,1027.0,5718.0,1.099,0.921,0
